Partlist

Exported from SensorBoardManufacturingPanel.brd at 7/30/2017 6:36 PM

EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part        Value                Package                  Library           Position (mm)         Orientation

B1          TACTM-35N-F          TACTM-35N-F              TACTM-35N-F       (76.35875 17.859375)  M270
B2          TACTM-35N-F          TACTM-35N-F              TACTM-35N-F       (76.35875 8.969375)   M90
C1          100n                 C0603                    rcl_upravena      (19.129375 26.19375)  180
C2          1n                   C0603                    rcl_upravena      (24.765 2.2225)       M270
C3          100n                 C0603                    rcl_upravena      (63.738125 42.06875)  M270
C4          100n                 C0603                    rcl_upravena      (63.738125 39.0525)   M270
C5          100n                 C0603                    rcl_upravena      (86.83625 27.46375)   180
C6          100n                 C0603                    rcl_upravena      (75.485625 17.859375) 90
C7          100n                 C0603                    rcl_upravena      (86.280625 37.226875) 180
C8          100n                 C0603                    rcl_upravena      (7.858125 24.28875)   90
C9          100n                 C0603                    rcl_upravena      (20.0025 19.3675)     M270
C10         10n                  C0603                    rcl_upravena      (14.2875 19.52625)    M90
C11         100n                 C0603                    rcl_upravena      (75.485625 8.969375)  270
C12         100n                 C0603                    rcl_upravena      (22.06625 20.6375)    M270
C14         10n                  C0603                    rcl_upravena      (24.60625 31.115)     M180
C17         100n                 C0603                    rcl_upravena      (14.605 23.8125)      180
C18         100n                 C0603                    rcl_upravena      (5.715 36.195)        180
C19         4u7                  C0603                    rcl_upravena      (5.55625 32.54375)    270
C20         100n                 C0603                    rcl_upravena      (25.87625 39.52875)   180
C21         4u7                  C0603                    rcl_upravena      (22.86 39.52875)      0
C22         100n                 C0603                    rcl_upravena      (5.55625 29.68625)    90
C24         100n                 C0603                    rcl_upravena      (60.404375 34.13125)  90
C25         100n                 C0603                    rcl_upravena      (86.915625 3.96875)   180
C26         100n                 C0603                    rcl_upravena      (86.36 13.731875)     1800
CHARGER     ADP5062              QFN50P400X400X80-21N     OMAT_IC           (19.685 32.385)       M90
IC1         SI7006-A10-IM        DFN6-3X3                 si70xx            (10.4775 25.003125)   270
IC4         BMP280               BMP280                   bosch-bmp280      (19.605625 24.050625) 90
IC5         FT232R               QFN32_LONG_PADS          ftdichip_upravena (9.525 32.0675)       180
LED1        yellow               CHIPLED_0603             led               (74.215625 33.3375)   M90
LED2        yellow               CHIPLED_0603             led               (74.215625 34.845625) M90
LED3        yellow               CHIPLED_0603             led               (74.215625 36.35375)  M90
LED4        green                CHIPLED_0603             led               (25.7175 15.5575)     M0
LED5        green                CHIPLED_0603             led               (26.3525 10.00125)    M0
LED6        green                CHIPLED_0603             led               (22.70125 36.98875)   M180
